CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016000231.0,01/02/2016,1716,SAT,MUNDEN FARMS LA,100 Feet From,1.0,122.0,1,SHOULDER,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"2080 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.748617, -76.012821)"
2016051316.0,12/16/2016,1520,FRI,4501 HAYGOOD RD,30 Feet From,3.0,328.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1100 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.875976, -76.134126)"
2016051485.0,12/17/2016,1618,SAT,264 NO,Yes,2.0,225.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"BIRDNECK RD N
VIRGINIA BEACH, VA
"
2016005106.0,02/09/2016,1820,TUE,DAM NECK RD,200 Feet From,1.0,125.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,ON ENTRANCE/EXIT RAMP,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3445 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.774678, -76.089959)"
2016007608.0,02/28/2016,1417,SUN,64W,50 Feet From,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,ONE WAY ROAD OR STREET,STRAIGHT-LEVEL,DRY,CONCRETE,"ONE-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"5684 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.805279, -76.19094)"
2016009518.0,03/12/2016,1947,SAT,JOSLIN ST,200 Feet From,3.0,329.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-UNKNOWN ROAD LIGHTING,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"INDEPENDENCE BL
VIRGINIA BEACH, VA
"
2016052741.0,12/28/2016,1205,WED,FIRST COLONIAL RD,030 Feet From,2.0,221.0,2,,,,,,,,,,,,,,,,,,,"GREAT NECK RD N
VIRGINIA BEACH, VA
"
2016037285.0,09/07/2016,815,WED,LEROY RD,10 Feet From,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,OFFICER OR FLAGGER,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,YES-WITH SCHOOL ACTIVITY,REAR END,"2499 SEABOARD RD
VIRGINIA BEACH, VA
(36.751076, -76.033728)"
2016000090.0,01/01/2016,1308,FRI,AINSLEY PL,20 Feet From,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,HEAD ON,"5600 HAMPSHIRE PL
VIRGINIA BEACH, VA
"
2016003630.0,01/29/2016,2335,FRI,PARKWAY MARKET,250 Feet From,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"5048 FERRELL PW
VIRGINIA BEACH, VA
(36.794954, -76.167681)"
2016032038.0,08/03/2016,1608,WED,WITCHDUCK RD N,100 Feet From,3.0,324.0,3,,,,,,,,,,,,,,,,,,,"VIRGINIA BEACH BL
VIRGINIA BEACH, VA
"
2016009583.0,03/13/2016,755,SUN,GREAT NECK RD N,50 Feet From,2.0,220.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"2800 SHORE DR
VIRGINIA BEACH, VA
(36.912504, -76.068028)"
2016016524.0,04/28/2016,953,THU,SILVERBROOK LA,150 Feet From,3.0,324.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,YES,REAR END,"4400 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.8435, -76.125923)"
2016041153.0,10/04/2016,2349,TUE,83RD ST,1.00 Miles From,2.0,220.0,0,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD NOT LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"SHORE DR
VIRGINIA BEACH, VA
"
2016052058.0,12/21/2016,1910,WED,PRINCESS ANNE RD,200 Feet From,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"BAXTER RD
VIRGINIA BEACH, VA
"
2016043906.0,10/23/2016,130,SUN,CORPORATE LANDING RD,1.00 Miles From,1.0,123.0,1,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"1400 DAM NECK RD
VIRGINIA BEACH, VA
(36.786022, -76.013671)"
2016007339.0,02/26/2016,1523,FRI,PLAZA TL S,300 Feet From,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"4464 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.803414, -76.132493)"
2016033480.0,08/12/2016,2001,FRI,NORMANDY AV,200 Feet From,4.0,422.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,OTHER,"500 AVALON AV
VIRGINIA BEACH, VA
(36.823627, -76.188253)"
2016047183.0,11/15/2016,1850,TUE,COLUMBUS ST,200 Feet From,3.0,324.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"INDEPENDENCE BL
VIRGINIA BEACH, VA
"
2016049840.0,12/05/2016,941,MON,898 WINDSOR OAKS BL,100 Feet From,4.0,428.0,3,ON ROADWAY,RAIN,DAWN,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"1798 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.806404, -76.117152)"
2016021067.0,05/27/2016,1109,FRI,CAREN DR,50 Feet From,3.0,322.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3700 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.840219, -76.099786)"
2016004428.0,02/04/2016,1445,THU,PRINCESS ANNE RD,200 Feet From,4.0,424.0,1,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"2129 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.78806, -76.11367)"
2016038461.0,09/15/2016,845,THU,DIAMOND SPRINGS RD,50 Feet From,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"NEWTOWN RD
VIRGINIA BEACH, VA
"
2016049853.0,12/05/2016,1035,MON,DEMING CT,50 Feet From,4.0,423.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,REAR END,"300 WELLER BL
VIRGINIA BEACH, VA
(36.82607, -76.150261)"
2016043006.0,10/17/2016,1355,MON,PLAZA TL S,100 Feet From,4.0,426.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"1529 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.814075, -76.126245)"
2016046419.0,11/10/2016,803,THU,4600 PLEASANE VALLEY RD,.01 Miles From,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"4900 FERR
VIRGINIA BEACH, VA
"
2016011592.0,03/27/2016,729,SUN,ESPLANADE DR,200 Feet From,1.0,121.0,2,ROADSIDE,RAIN,DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"2680 BERNADOTTE ST
VIRGINIA BEACH, VA
(36.742853, -76.037289)"
2016017303.0,05/03/2016,1136,TUE,NORTH LANDING RD,750 Feet From,1.0,121.0,2,ON ROADWAY,RAIN,DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"2665 WEST NECK RD
VIRGINIA BEACH, VA
(36.74494, -76.060093)"
2016002290.0,01/19/2016,844,TUE,WOLFSNARE RD,25 Feet From,2.0,223.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"899 FIRST COLONIAL RD
VIRGINIA BEACH, VA
(36.855265, -76.024965)"
2016015644.0,04/22/2016,2331,FRI,LASKIN RD,200 Feet From,2.0,227.0,2,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,YES-WORKING,OTHER,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3100 ATLANTIC AV
VIRGINIA BEACH, VA
(36.859612, -75.978289)"
2016004163.0,02/02/2016,1557,TUE,LANDSTOWN CENTRE WY,20 Feet From,1.0,125.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"3341 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.772833, -76.087282)"
2016019905.0,05/20/2016,751,FRI,SUNLAND DR N,400 Feet From,4.0,422.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,SIDESWIPE-OPPOSITE DIRECTION,"5412 GALE DR
VIRGINIA BEACH, VA
(36.812525, -76.177453)"
2016013623.0,04/09/2016,1623,SAT,PACA LA,30 Feet From,3.0,326.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"604 NEWTOWN RD
VIRGINIA BEACH, VA
(36.860038, -76.17479)"
2016042045.0,10/10/2016,2100,MON,MILL LANDING RD,.10 Miles From,1.0,120.0,1,SHOULDER,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD NOT LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"629 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.606603, -76.031233)"
2016023025.0,06/08/2016,715,WED,DENVER DR,150 Feet From,4.0,421.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"1900 HIDDEN VALLEY DR
VIRGINIA BEACH, VA
(36.777415, -76.185129)"
2016025143.0,06/21/2016,1330,TUE,ROSEMONT RD S,200 Feet From,3.0,321.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"3600 BONNEY RD
VIRGINIA BEACH, VA
(36.83935, -76.098213)"
2016026497.0,06/29/2016,1325,WED,GREAT NECK RD N,200 Feet From,2.0,221.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"2199 FIRST COLONIAL RD
VIRGINIA BEACH, VA
(36.874088, -76.039479)"
2016024276.0,06/18/2016,2135,SAT,EAGLEWOOD DR,200 Feet From,1.0,123.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,OTHER,"1300 OCEANA BL
VIRGINIA BEACH, VA
(36.794222, -75.997085)"
2016018748.0,05/12/2016,1800,THU,2300 BURTON DR,30 Feet From,2.0,221.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"1500 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.881583, -76.044695)"
2016014403.0,04/14/2016,1834,THU,DAM NECK RD,500 Feet From,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DUSK,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"DRAKESMILE RD
VIRGINIA BEACH, VA
"
2016033270.0,08/11/2016,1000,THU,PLAZA TL S,900 Feet From,4.0,426.0,2,IN PARKING LANE OR ZONE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,OTHER,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS",UNKNOWN,NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,ANGLE,"828 HEALTHY WY
VIRGINIA BEACH, VA
(36.808442, -76.13038)"
2016031164.0,07/28/2016,1841,THU,SEABOARD RD,200 Feet From,1.0,121.0,1,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"2100 HERON RIDGE LA
VIRGINIA BEACH, VA
(36.734717, -76.029021)"
2016012845.0,04/04/2016,1148,MON,BROAD ST,100 Feet From,3.0,323.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"401 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.84801, -76.136841)"
2016010848.0,03/22/2016,1059,TUE,LYNN SHORES DR S,Yes,3.0,322.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"VIRGINIA BEACH BL
VIRGINIA BEACH, VA
"
2016016489.0,04/28/2016,10,THU,STARFISH RD,300 Feet From,2.0,220.0,1,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"SHORE DR
VIRGINIA BEACH, VA
"
2016048532.0,11/25/2016,1845,FRI,BONNEY RD,100 Feet From,3.0,324.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"200 INDEPENDENCE BL BLK
VIRGINIA BEACH, VA
"
2016032444.0,08/06/2016,720,SAT,WEST LANDING RD,.10 Miles From,1.0,121.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"3700 WEST NECK RD
VIRGINIA BEACH, VA
(36.699891, -76.045559)"
2016004468.0,02/04/2016,1825,THU,53RD ST,Yes,2.0,226.0,1,ON ROADWAY,RAIN,DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,THREE APPROACHES,NO,,,,NO,FIXED OBJECT-OFF ROAD,"LAKESIDE AV
VIRGINIA BEACH, VA
"
2016027272.0,07/03/2016,2310,SUN,WINSTON AV,500 Feet From,1.0,125.0,1,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD NOT LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,OTHER,"2804 SALEM RD
VIRGINIA BEACH, VA
(36.742147, -76.101085)"
2016005203.0,02/10/2016,1541,WED,DAM NECK RD,500 Feet From,1.0,124.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,STRAIGHT-LEVEL,DRY,CONCRETE,"ONE-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"1772 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.783991, -76.04902)"
